// 中医药典
阿胶	e'jiao
挨批	ai'pi
挨枪	ai'qiang
挨呛	ai'qiang
挨墙	ai'qiang
挨抢	ai'qiang
挨穷	ai'qiong
挨三顶五	ai'san'ding'wu
挨上	ai'shang
挨受	ai'shou
挨摔	ai'shuai
挨熊	ai'xiong
挨训	ai'xun
挨雨	ai'yu
挨怨	ai'yuan
挨宰	ai'zai
挨炸	ai'zha
挨枕	ai'zhen
挨整	ai'zheng
挨桌	ai'zhuo
挨着	ai'zhe
挨揍	ai'zou
挨座	ai'zuo
挨拶	ai'za
挨呲	ai'ci
哎哎	ai'ai
哎呀	ai'ya
哎哟	ai'yo
唉唉	ai'ai
唉声叹气	ai'sheng'tan'qi
唉呀	ai'ya
哀兵	ai'bing
哀兵必胜	ai'bing'bi'sheng
哀愁	ai'chou
哀悼	ai'dao
哀吊	ai'diao
哀而不伤	ai'er'bu'shang
哀风	ai'feng
哀感	ai'gan
哀感顽艳	ai'gan'wan'yan
哀感颃艳	ai'gan'hang'yan
哀告	ai'gao
哀歌	ai'ge
哀嚎	ai'hao
哀号	ai'hao
哀鸿	ai'hong
哀鸿遍野	ai'hong'bian'ye
哀呼	ai'hu
哀毁骨立	ai'hui'gu'li
哀叫	ai'jiao
哀恳	ai'ken
哀哭	ai'ku
哀苦	ai'ku
哀牢山	ai'lao'shan
哀乐	ai'yue
哀梨蒸食	ai'li'zheng'shi
哀怜	ai'lian
哀凉	ai'liang
哀梦	ai'meng
哀悯	ai'min
哀鸣	ai'ming
哀莫大于心死	ai'mo'da'yu'xin'si
哀戚	ai'qi
哀凄	ai'qi
哀泣	ai'qi
哀切	ai'qie
哀情	ai'qing
哀求	ai'qiu
哀劝	ai'quan
哀荣	ai'erong
哀伤	ai'shang
哀声	ai'sheng
哀思	ai'si
哀丝豪竹	ai'si'hao'zhu
哀诉	ai'su
哀叹	ai'tan
哀痛	ai'tong
哀痛欲绝	ai'tong'yu'jue
哀婉	ai'wan
哀艳	ai'yan
哀吟	ai'yin
哀怨	ai'yuan
哀哉	ai'zai
哀者	ai'zhe
哀怆	ai'chuang
哀恸	ai'tong
皑皑	ai'ai
癌变	ai'bian
癌病	ai'bing
癌毒	ai'du
癌块	ai'kuai
癌龄	ai'ling
癌瘤	ai'liu
癌魔	ai'mo
癌痛	ai'tong
癌细胞	ai'xi'bao
癌性	ai'xing
癌友	ai'you
癌灶	ai'zao
癌症	ai'zheng
癌中	ai'zhong
癌种	ai'zhong
癌肿	ai'zhong
蔼然	ai'eran
蔼然可亲	ai'eran'ke'qin
矮矮	ai'ai
矮矮实实	ai'ai'shi'shi
矮矮小小	ai'ai'xiao'xiao
矮帮	ai'bang
矮床	ai'chuang
矮凳	ai'deng
矮堤	ai'di
矮墩墩	ai'dun'dun
矮房	ai'fang
矮秆	ai'gan
矮个	ai'ge
矮个儿	ai'ge'er
矮个子	ai'ge'zi
矮跟	ai'gen
矮埂	ai'geng
矮柜	ai'gui
矮化	ai'hua
矮茎	ai'jing
矮旧	ai'jiu
矮篱	ai'li
矮林	ai'lin
矮陋	ai'lou
矮马	ai'ma
矮趴趴	ai'pa'pa
矮胖	ai'pang
矮胖矮胖	ai'pang'ai'pang
矮墙	ai'qiang
矮丘	ai'qiu
矮人	ai'eren
矮人观场	ai'eren'guan'chang
矮人国	ai'eren'guo
矮人看场	ai'eren'kan'chang
矮山	ai'shan
矮瘦	ai'shou
矮树	ai'shu
矮屋	ai'wu
矮小	ai'xiao
矮腰	ai'yao
矮于	ai'yu
矮者	ai'zhe
矮枝	ai'zhi
矮种	ai'zhong
矮株	ai'zhu
矮壮	ai'zhuang
矮桌	ai'zhuo
矮子	ai'zi
矮子看戏	ai'zi'kan'xi
矮矬	ai'cuo
矮矬子	ai'cuo'zi
矮笃笃	ai'du'du
艾比湖	ai'bi'hu
艾丁湖	ai'ding'hu
艾虎	ai'hu
艾黎	ai'li
艾青	ai'qing
艾绒	ai'erong
艾森豪威尔	ai'sen'hao'wei'er
艾绳	ai'sheng
艾窝窝	ai'wo'wo
艾滋病	ai'zi'bing
艾滋病毒	ai'zi'bing'du
碍航	ai'hang
碍脚	ai'jiao
碍口	ai'kou
碍面子	ai'mian'zi
碍事	ai'shi
碍手	ai'shou
碍手碍脚	ai'shou'ai'jiao
碍眼	ai'yan
碍于	ai'yu
爱扒	ai'ba
爱扒	ai'pa
爱班	ai'ban
爱办	ai'ban
爱报	ai'bao
爱蹦	ai'beng
爱编	ai'bian
爱兵	ai'bing
爱不忍释	ai'bu'eren'shi
爱不释手	ai'bu'shi'shou
爱擦	ai'ca
爱才	ai'cai
爱才如命	ai'cai'eru'ming
爱财	ai'cai
爱财如命	ai'cai'eru'ming
爱藏	ai'cang
爱茶	ai'cha
爱拆	ai'chai
爱长	ai'zhang
爱厂	ai'chang
爱唱	ai'chang
爱车	ai'che
爱称	ai'cheng
爱乘	ai'cheng
爱吃	ai'chi
爱宠	ai'chong
爱穿	ai'chuan
爱船	ai'chuan
爱吹	ai'chui
爱村	ai'cun
爱答不理	ai'da'bu'li
爱打	ai'da
爱戴	ai'dai
爱党	ai'dang
爱岛	ai'dao
爱迪生	ai'di'sheng
爱店	ai'dian
爱丁堡	ai'ding'bao
爱丢	ai'diu
爱动	ai'dong
爱逗	ai'dou
爱读	ai'du
爱赌	ai'du
爱段	ai'duan
爱儿	ai'er
爱尔兰	ai'er'lan
爱尔兰岛	ai'er'lan'dao
爱尔兰共和军	ai'er'lan'gong'he'jun
爱抚	ai'fu
爱富	ai'fu
爱干	ai'gan
爱钢	ai'gang
爱岗	ai'gang
爱港	ai'gang
爱搞	ai'gao
爱给	ai'gei
爱狗	ai'gou
爱鼓	ai'gu
爱刮	ai'gua
爱管	ai'guan
爱管闲事	ai'guan'xian'shi
爱逛	ai'guang
爱国	ai'guo
爱国会	ai'guo'hui
爱国热情	ai'guo'ere'qing
爱国人士	ai'guo'eren'shi
爱国卫生运动	ai'guo'wei'sheng'yun'dong
爱国心	ai'guo'xin
爱国拥军	ai'guo'yong'jun
爱国者	ai'guo'zhe
爱国者导弹	ai'guo'zhe'dao'dan
爱国主义	ai'guo'zhu'yi
爱海	ai'hai
爱好	ai'hao
爱好者	ai'hao'zhe
爱喝	ai'he
爱荷达	ai'he'da
爱河	ai'he
爱鹤失众	ai'he'shi'zhong
爱哼	ai'heng
爱吼	ai'hou
爱护	ai'hu
爱花	ai'hua
爱画	ai'hua
爱辉	ai'hui
爱己	ai'ji
爱家	ai'jia
爱见	ai'jian
爱舰	ai'jian
爱将	ai'jiang
爱讲	ai'jiang
爱礁	ai'jiao
爱教	ai'jiao
爱军	ai'jun
爱看	ai'kan
爱克斯光	ai'ke'si'guang
爱克斯射线	ai'ke'si'she'xian
爱啃	ai'ken
爱扣	ai'kou
爱哭	ai'ku
爱矿	ai'kuang
爱困	ai'kun
爱拉	ai'la
爱来	ai'lai
爱老	ai'lao
爱乐	ai'le
爱乐	ai'yue
爱乐乐团	ai'yue'yue'tuan
爱理不理	ai'li'bu'li
爱莲	ai'lian
爱连	ai'lian
爱怜	ai'lian
爱恋	ai'lian
爱练	ai'lian
爱粮	ai'liang
爱聊	ai'liao
爱路	ai'lu
爱侣	ai'lv
爱绿	ai'lv
爱马	ai'ma
爱买	ai'mai
爱卖	ai'mai
爱猫	ai'mao
爱毛反裘	ai'mao'fan'qiu
爱梅	ai'mei
爱煤	ai'mei
