阿胶	e'jiao
克伤痛搽剂	ke'shang'tong'cha'ji
控涎丸	kong'xian'wan
口炎清颗粒	kou'yan'qing'ke'li
苦参	ku'shen
苦地丁	ku'di'ding
苦木	ku'mu
苦杏仁	ku'xing'ren
苦楝皮	ku'lian'pi
款冬花	kuan'dong'hua
昆布	kun'bu
昆明山海棠片	kun'ming'shan'hai'tang'pian
莱菔子	lai'fu'zi
狼疮丸	lang'chuang'wan
老鹳草	lao'guan'cao
老鹳草软膏	lao'guan'cao'ruan'gao
乐脉颗粒	le'mai'ke'li
雷丸	lei'wan
荔枝核	li'zhi'he
利胆排石片	li'dan'pai'shi'pian
利咽解毒颗粒	li'yan'jie'du'ke'li
莲房	lian'fang
莲须	lian'xu
莲子	lian'zi
莲子心	lian'zi'xin
连钱草	lian'qian'cao
连翘	lian'qiao
连翘提取物	lian'qiao'ti'qu'wu
良附丸	liang'fu'wan
两面针	liang'mian'zhen
两头尖	liang'tou'jian
羚羊感冒片	ling'yang'gan'mao'pian
羚羊角	ling'yang'jiao
羚羊角胶囊	ling'yang'jiao'jiao'nang
羚羊清肺丸	ling'yang'qing'fei'wan
凌霄花	ling'xiao'hua
灵宝护心丹	ling'bao'hu'xin'dan
灵芝	ling'zhi
硫黄	liu'huang
六合定中丸	liu'he'ding'zhong'wan
六味安消散	liu'wei'an'xiao'san
六味地黄丸	liu'wei'di'huang'wan
六味木香散	liu'wei'mu'xiang'san
六一散	liu'yi'san
六应丸	lu'ying'wan
龙胆	long'dan
龙胆泻肝丸	long'dan'xie'gan'wan
大蜜丸	da'mi'wan
龙胆泻肝丸	long'dan'xie'gan'wan
龙牡壮骨颗粒	long'mu'zhuang'gu'ke'li
龙眼肉	long'yan'rou
漏芦	lou'lu
芦根	lu'gen
芦荟	lu'hui
炉甘石	lu'gan'shi
路路通	lu'lu'tong
鹿角	lu'jiao
鹿角胶	lu'jiao'jiao
鹿角霜	lu'jiao'shuang
鹿茸	lu'rong
鹿茸	lu'rong
鹿角胶	lu'jiao'jiao
鹿角	lu'jiao
鹿角霜	lu'jiao'shuang
鹿衔草	lu'xian'cao
罗布麻叶	luo'bu'ma'ye
罗汉果	luo'han'guo
络石藤	luo'shi'teng
麻黄	ma'huang
麻黄根	ma'huang'gen
麻仁润肠丸	ma'ren'run'chang'wan
麻仁丸	ma'ren'wan
麻油	ma'you
马鞭草	ma'bian'cao
马勃	ma'bo
马齿苋	ma'chi'xian
马兜铃	ma'dou'ling
马钱子	ma'qian'zi
马钱子粉	ma'qian'zi'fen
马钱子散	ma'qian'zi'san
马应龙麝香痔疮膏	ma'ying'long'she'xiang'zhi'chuang'gao
麦冬	mai'dong
麦味地黄丸	mai'wei'di'huang'wan
麦芽	mai'ya
稻芽	dao'ya
满山红	man'shan'hong
满山红油	man'shan'hong'you
满山红油胶丸	man'shan'hong'you'jiao'wan
蔓荆子	man'jing'zi
芒硝	mang'xiao
猫爪草	mao'zhao'cao
毛诃子	mao'he'zi
玫瑰花	mei'gui'hua
梅花	mei'hua
梅花点舌丸	mei'hua'dian'she'wan
密蒙花	mi'meng'hua
绵马贯众	mian'ma'guan'zhong
绵马贯众炭	mian'ma'guan'zhong'tan
绵萆解	mian'bi'xie
妙济丸	miao'ji'wan
明党参	ming'dang'shen
明目地黄丸	ming'mu'di'huang'wan
墨旱莲	mo'han'lian
牡丹皮	mu'dan'pi
牡荆叶	mu'jing'ye
牡荆油	mu'jing'you
牡荆油胶丸	mu'jing'you'jiao'wan
牡蛎	mu'li
母丁香	mu'ding'xiang
木鳖子	mu'bie'zi
木瓜	mu'gua
木瓜丸	mu'gua'wan
木蝴蝶	mu'hu'die
木通	mu'tong
木香	mu'xiang
木香分气丸	mu'xiang'fen'qi'wan
木香槟榔丸	mu'xiang'bing'lang'wan
木贼	mu'zei
南板蓝根	nan'ban'lang'en
南鹤虱	nan'he'shi
南沙参	nan'sha'shen
脑得生片	nao'de'sheng'pian
脑得生丸	nao'de'sheng'wan
脑乐静	nao'le'jing
脑立清丸	nao'li'qing'wan
闹羊花	nao'yang'hua
牛胆粉	niu'dan'fen
牛黄	niu'huang
牛黄抱龙丸	niu'huang'bao'long'wan
牛黄降压胶囊	niu'huang'jiang'ya'jiao'nang
牛黄降压丸	niu'huang'jiang'ya'wan
牛黄解毒片	niu'huang'jie'du'pian
牛黄解毒丸	niu'huang'jie'du'wan
牛黄千金散	niu'huang'qian'jin'san
牛黄清心丸	niu'huang'qing'xin'wan
局方	ju'fang
牛黄上清胶囊	niu'huang'shang'qing'jiao'nang
牛黄上清丸	niu'huang'shang'qing'wan
牛黄消炎片	niu'huang'xiao'yan'pian
牛黄镇惊丸	niu'huang'zhen'jing'wan
牛黄至宝丸	niu'huang'zhi'bao'wan
牛膝	niu'xi
牛蒡子	niu'bang'zi
女金丸	nu'jin'wa
女贞子	nv'zhen'zi
暖脐膏	nuan'qi'gao
藕节	ou'jie
排石颗粒	pai'shi'ke'li
胖大海	pang'da'hai
炮姜	pao'jiang
佩兰	pei'lan
片姜黄	pian'jiang'huang
平贝母	ping'bei'mu
平肝舒络丸	ping'gan'shu'luo'wan
蒲公英	pu'gong'ying
蒲黄	pu'huang
七宝美髯颗粒	qi'bao'mei'ran'ke'li
七厘散	qi'li'san
七十味珍味丸	qi'shi'wei'zhen'zhu'wan
七味榼藤子丸	qi'wei'ke'teng'zi'wan
七味都气丸	qi'wei'du'qi'wan
七味广枣丸	qi'wei'guang'zao'wan
七味葡萄散	qi'wei'pu'tao'san
七味铁屑丸	qi'wei'tie'xie'wan
七叶神安片	qi'ye'shen'an'pian
七珍丸	qi'zhen'wan
启脾丸	qi'pi'wan
牵牛子	qian'niu'zi
千柏鼻炎片	qian'bai'bi'yan'pian
千金止带丸	qian'jin'zhi'dai'wan
千金子	qian'jin'zi
千金子霜	qian'jin'zi'shuang
千年健	qian'nian'jian
前胡	qian'hu
前列舒丸	qian'lie'shu'wan
羌活	qiang'huo
